CNPJ,RazaoSocial,Trimestre,Ano,ValorDespesas,Modalidade,UF,RegistroANS
03627391000167,SOCIEDADE DE ASSISTÊNCIA MÉDICA - SAMEISA,03,2024,666279.26,AutogestÃ£o,RS,411809
03702977000149,CAIXA DE ASSISTÊNCIA À SAUDE DOS EMPREGADOS DA CODEVASF - CASEC,03,2024,45514.38,AutogestÃ£o,DF,412295
78304672000188,CAIXA BENEFICENTE DOS FUNCIONÁRIOS DO GRUPO IGUAÇU,03,2024,9745.89,AutogestÃ£o,PR,414026
04234059000103,PREVENT SENIOR CORPORATE OPERADORA DE SAÚDE LTDA.,03,2024,6083.23,Medicina de Grupo,SP,413267
04197511000104,CAIXA DE ASSISTÊNCIA DO SINDFISCO - CASSIND,03,2024,143593.83,AutogestÃ£o,SE,413518
04745753000187,UNIÃO MÉDICA PLANOS DE SAÚDE S/A,03,2024,388879.76,Medicina de Grupo,BA,414581
05774975000190,SERVDONTO - PLANO DE ASSISTÊNCIA ODONTOLÓGICA LTDA,03,2024,313839.19,Odontologia de Grupo,SE,414701
03548273000163,MEDIC GLOBAL PLANOS DE SAÚDE LTDA.,03,2024,14785.47,Medicina de Grupo,MG,411868
03187913000157,ODONTOART PLANOS ODONTOLÓGICOS LTDA,03,2024,2599.95,Odontologia de Grupo,CE,414387
00307714000147,ASSOCIAÇÃO VALEPARAIBANA DE ASSISTÊNCIA MÉDICA POLICIAL,03,2024,166665.39,AutogestÃ£o,SP,412635
00395266000180,MAIS SAÚDE PLANO DE SAÚDE LTDA,03,2024,19883.78,Medicina de Grupo,GO,415065
71753297000104,ASSOCIAÇÃO POLICIAL DE ASSISTENCIA À SAUDE DE SAO JOAO DA BOA VISTA,03,2024,181.96,AutogestÃ£o,SP,408263
72918287000144,ASSOCIAÇÃO POLICIAL DE ASSISTÊNCIA À SAÚDE DE RIBEIRÃO PRETO (APAS),03,2024,8846476.87,AutogestÃ£o,SP,408794
00642842000147,ASSOCIAÇÃO POLICIAL DE ASSISTÊNCIA À SAÚDE - VALE DO RIBEIRA,03,2024,390935.65,AutogestÃ£o,SP,409405
71559272000174,ASSOCIAÇÃO POLICIAL DE ASSISTÊNCIA À SAÚDE,03,2024,520929.07,AutogestÃ£o,SP,410128
03637776000105,FILOSANITAS SAUDE LTDA,03,2024,83049.87,Medicina de Grupo,SP,410888
00648506000101,ASSOCIAÇÃO POLICIAL DE ASSISTÊNCIA À SAÚDE DE PRESIDENTE VENCESLAU,03,2024,104673.43,AutogestÃ£o,SP,411248
05814777000103,CAIXA DE ASSISTÊNCIA DOS FUNCIONÁRIOS DO BANCO DO NORDESTE DO BRASIL,03,2024,51014.18,AutogestÃ£o,CE,385697
