CNPJ,RazaoSocial,Trimestre,Ano,ValorDespesas
416401,PENDENTE_ENRIQUECIMENTO,1T,2025,3582.78
416495,PENDENTE_ENRIQUECIMENTO,1T,2025,263923.75
416738,PENDENTE_ENRIQUECIMENTO,1T,2025,928412.08
417106,PENDENTE_ENRIQUECIMENTO,1T,2025,52418.28
417211,PENDENTE_ENRIQUECIMENTO,1T,2025,18207215.24
417491,PENDENTE_ENRIQUECIMENTO,1T,2025,21619.4
417718,PENDENTE_ENRIQUECIMENTO,1T,2025,90790.57
418129,PENDENTE_ENRIQUECIMENTO,1T,2025,8250.03
416525,PENDENTE_ENRIQUECIMENTO,1T,2025,772298.31
417220,PENDENTE_ENRIQUECIMENTO,1T,2025,35259.84
417424,PENDENTE_ENRIQUECIMENTO,1T,2025,68603.05
417611,PENDENTE_ENRIQUECIMENTO,1T,2025,23567.76
418137,PENDENTE_ENRIQUECIMENTO,1T,2025,2877325.0
417505,PENDENTE_ENRIQUECIMENTO,1T,2025,7934541.08
417602,PENDENTE_ENRIQUECIMENTO,1T,2025,732480.01
417955,PENDENTE_ENRIQUECIMENTO,1T,2025,6329.96
416410,PENDENTE_ENRIQUECIMENTO,1T,2025,3387.02
416789,PENDENTE_ENRIQUECIMENTO,1T,2025,24230.99
417289,PENDENTE_ENRIQUECIMENTO,1T,2025,2531336.27
416568,PENDENTE_ENRIQUECIMENTO,1T,2025,8943908.34
417122,PENDENTE_ENRIQUECIMENTO,1T,2025,1141805.04
417751,PENDENTE_ENRIQUECIMENTO,1T,2025,30224.39
415987,PENDENTE_ENRIQUECIMENTO,1T,2025,97486.5
416428,PENDENTE_ENRIQUECIMENTO,1T,2025,20419.33
417131,PENDENTE_ENRIQUECIMENTO,1T,2025,129531.93
417459,PENDENTE_ENRIQUECIMENTO,1T,2025,7022720.77
417815,PENDENTE_ENRIQUECIMENTO,1T,2025,111222.7
416801,PENDENTE_ENRIQUECIMENTO,1T,2025,1304.18
417297,PENDENTE_ENRIQUECIMENTO,1T,2025,719532.98
417475,PENDENTE_ENRIQUECIMENTO,1T,2025,194385.26
417530,PENDENTE_ENRIQUECIMENTO,1T,2025,162168.4
418021,PENDENTE_ENRIQUECIMENTO,1T,2025,43206.44
416398,PENDENTE_ENRIQUECIMENTO,1T,2025,3876.16
416584,PENDENTE_ENRIQUECIMENTO,1T,2025,898969.52
415910,PENDENTE_ENRIQUECIMENTO,1T,2025,570.69
417165,PENDENTE_ENRIQUECIMENTO,1T,2025,255851.46
417661,PENDENTE_ENRIQUECIMENTO,1T,2025,41476.67
417173,PENDENTE_ENRIQUECIMENTO,1T,2025,4143697.12
417548,PENDENTE_ENRIQUECIMENTO,1T,2025,1751182.24
416690,PENDENTE_ENRIQUECIMENTO,1T,2025,985370.24
417050,PENDENTE_ENRIQUECIMENTO,1T,2025,5066062.8
417301,PENDENTE_ENRIQUECIMENTO,1T,2025,907395.98
417831,PENDENTE_ENRIQUECIMENTO,1T,2025,28749.97
418030,PENDENTE_ENRIQUECIMENTO,1T,2025,596480.53
417092,PENDENTE_ENRIQUECIMENTO,1T,2025,348019.32
419281,PENDENTE_ENRIQUECIMENTO,1T,2025,5203518.17
419419,PENDENTE_ENRIQUECIMENTO,1T,2025,16345893.11
419524,PENDENTE_ENRIQUECIMENTO,1T,2025,195502.52
419753,PENDENTE_ENRIQUECIMENTO,1T,2025,5841718.32
418170,PENDENTE_ENRIQUECIMENTO,1T,2025,50878.46
418374,PENDENTE_ENRIQUECIMENTO,1T,2025,99117.9
418501,PENDENTE_ENRIQUECIMENTO,1T,2025,67442.79
418595,PENDENTE_ENRIQUECIMENTO,1T,2025,9179.45
418749,PENDENTE_ENRIQUECIMENTO,1T,2025,17113.5
418803,PENDENTE_ENRIQUECIMENTO,1T,2025,1223746.8
418960,PENDENTE_ENRIQUECIMENTO,1T,2025,11519165.0
419052,PENDENTE_ENRIQUECIMENTO,1T,2025,235.71
419141,PENDENTE_ENRIQUECIMENTO,1T,2025,152239.73
418196,PENDENTE_ENRIQUECIMENTO,1T,2025,12822.75
418218,PENDENTE_ENRIQUECIMENTO,1T,2025,114758.73
418617,PENDENTE_ENRIQUECIMENTO,1T,2025,14762.44
419851,PENDENTE_ENRIQUECIMENTO,1T,2025,2430.16
418986,PENDENTE_ENRIQUECIMENTO,1T,2025,111322.13
419079,PENDENTE_ENRIQUECIMENTO,1T,2025,669516.29
419150,PENDENTE_ENRIQUECIMENTO,1T,2025,17752.23
419427,PENDENTE_ENRIQUECIMENTO,1T,2025,581606.5
419567,PENDENTE_ENRIQUECIMENTO,1T,2025,14170.08
419907,PENDENTE_ENRIQUECIMENTO,1T,2025,81827.59
418161,PENDENTE_ENRIQUECIMENTO,1T,2025,16841.35
418650,PENDENTE_ENRIQUECIMENTO,1T,2025,12737291.4
419010,PENDENTE_ENRIQUECIMENTO,1T,2025,107359860.32
419290,PENDENTE_ENRIQUECIMENTO,1T,2025,107599.5
419958,PENDENTE_ENRIQUECIMENTO,1T,2025,341890.75
418226,PENDENTE_ENRIQUECIMENTO,1T,2025,14242.87
419869,PENDENTE_ENRIQUECIMENTO,1T,2025,1280939.34
418528,PENDENTE_ENRIQUECIMENTO,1T,2025,7816484.71
418692,PENDENTE_ENRIQUECIMENTO,1T,2025,2682.55
418994,PENDENTE_ENRIQUECIMENTO,1T,2025,84043.36
419095,PENDENTE_ENRIQUECIMENTO,1T,2025,4905.77
419249,PENDENTE_ENRIQUECIMENTO,1T,2025,5033326.83
419443,PENDENTE_ENRIQUECIMENTO,1T,2025,9467013.92
419591,PENDENTE_ENRIQUECIMENTO,1T,2025,5312.16
418536,PENDENTE_ENRIQUECIMENTO,1T,2025,24295.75
418552,PENDENTE_ENRIQUECIMENTO,1T,2025,61440.38
418820,PENDENTE_ENRIQUECIMENTO,1T,2025,5859.44
419257,PENDENTE_ENRIQUECIMENTO,1T,2025,838890.69
419354,PENDENTE_ENRIQUECIMENTO,1T,2025,885408.64
419486,PENDENTE_ENRIQUECIMENTO,1T,2025,1696196.41
418285,PENDENTE_ENRIQUECIMENTO,1T,2025,494219.84
418706,PENDENTE_ENRIQUECIMENTO,1T,2025,159742.4
419125,PENDENTE_ENRIQUECIMENTO,1T,2025,13008.45
418731,PENDENTE_ENRIQUECIMENTO,1T,2025,61288.52
419133,PENDENTE_ENRIQUECIMENTO,1T,2025,31092730.98
419389,PENDENTE_ENRIQUECIMENTO,1T,2025,50143.91
419699,PENDENTE_ENRIQUECIMENTO,1T,2025,619581.08
418919,PENDENTE_ENRIQUECIMENTO,1T,2025,1920305.96
418587,PENDENTE_ENRIQUECIMENTO,1T,2025,226651.09
419028,PENDENTE_ENRIQUECIMENTO,1T,2025,35522.1
419516,PENDENTE_ENRIQUECIMENTO,1T,2025,41064.44
414662,PENDENTE_ENRIQUECIMENTO,1T,2025,55192.0
414930,PENDENTE_ENRIQUECIMENTO,1T,2025,44662.72
415014,PENDENTE_ENRIQUECIMENTO,1T,2025,622218.05
