CNPJ,RazaoSocial,UF,Total_Despesas,Media_Trimestral,Desvio_Padrao
13746922000194,RESOLVE ADMINISTRADORA DE BENEFÍCIOS LTDA,PI,222634.77,55658.6925,105952.28499999999
03494031000134,COOPERATIVA ODONTOLÓGICA POÇOS DE CALDAS,MG,216325.15,54081.2875,54413.74779165977
11275925000161,PLURICLUB ADMINISTRADORA DE BENEFÍCIOS LTDA.,SP,208827.39,52206.8475,26807.367378013052
43383373000100,CLICSAUDE ADMINISTRADORA DE BENEFICIOS LTDA,SP,207875.7,51968.925,32526.238880105702
00444803000135,ASSOCIAÇÃO POLICIAL DE ASSISTÊNCIA A SAÚDE,SP,197684.16,49421.04,55857.33376488534
43047552000168,AMPLITUDE PLANOS DE SAUDE LTDA,MG,190157.71000000002,47539.427500000005,94845.6308483223
02338268000163,UNIODONTO DE SC COOPERATIVA ADMINISTRADORA DE CONTRATOS,SC,186421.56999999998,46605.392499999994,31333.085910500817
14095581000105,LIKE DENTAL PLANOS ODONTOLÓGICOS SS LTDA,PR,183054.22999999998,45763.557499999995,26979.317083273712
53249803000140,ASSISTÊNCIA MÉDICA 12 DE OUTUBRO LTDA,SP,177342.0,44335.5,33610.01795596069
29958867000136,INTERVIDA ADMINISTRADORA DE BENEFÍCIOS LTDA,SP,169128.97999999998,42282.244999999995,38145.71894858059
30505523000150,DONA SAÚDE CLINICAS LTDA,SP,160398.58000000002,40099.645000000004,27271.447529694862
41397957000109,SALUTY ADMINISTRADORA DE BENEFICIOS LTDA,RJ,160058.9,40014.725,37560.2513092804
08237810000178,UNIODONTO/RN - COOPERATIVA ODONTOLOGICA DO RIO GRANDE DO NORTE,RN,159739.31999999998,39934.829999999994,27505.37964866631
19691730000104,MAIS SAUDE S/A,ES,158169.91999999998,52723.306666666664,20193.74942533786
44945962000199,SANTA CASA DE MISERICÓRDIA E ASILO DOS POBRES DE BATATAIS,SP,157806.28,39451.57,10018.337697033377
26185199000163,UNIODONTO REGIONAL COOPERATIVA ODONTOLOGICA,MG,152527.52,38131.88,29199.186855107226
48578525000135,EGRÉGORA  ADMINISTRADORA DE BENEFICIOS S/A,ES,146143.0,36535.75,73069.5
59641573000147,ATIMED ASSISTENCIA MEDICA LTDA,SP,145672.42,72836.21,0.0
02041808000142,ADVANCE PLANOS DE SAÚDE LTDA,SP,144204.3,36051.075,40828.02208640981
54698763000187,SAUDE VIVA ADMINISTRADORA DE BENEFICIOS LTDA,SP,140308.05000000002,35077.012500000004,37402.7991214939
45981176000100,ANAFE SAUDE,GO,140098.69,35024.6725,65285.46179445946
86483542000188,UNIMED VALE DO CARANGOLA COOPERATIVA DE TRABALHO MEDICO LTDA,MG,139186.56,34796.64,42223.35492352623
11565995000154,PORTOMED - PORTO SEGURO SERVIÇOS DE SAUDE LTDA,SP,137346.82,34336.705,14887.105941427972
73565319000138,ASSOCIACAO CIVIL PRÓ-SAÚDE DOS SERVIDORES DA UNIVERSIDADE ESTADUAL DE PONTA GROSSA,PR,135741.37999999998,33935.344999999994,66272.96577241557
44663631000166,UNIMED DE RIO CLARO SP COOPERATIVA DE TRABALHO MEDICO,SP,135223.56,33805.89,3500.522253359729
32206950000163,SANUS ADMINISTRADORA DE BENEFÍCIOS LTDA,ES,131282.0,32820.5,27732.88123644446
19663787000108,SALUPLAN ADMINISTRADORA DE BENEFÍCIOS LTDA,SP,121526.8,30381.7,22816.553383225964
